batch,pair,condition,panel,metric,correct,n,percent,qualified
memory,2,lookup_projection,validation,lookup,176,256,68.75,
memory,2,lookup_projection,validation,lookup_majority,93,256,36.328125,
memory,2,lookup_projection,validation,parity,255,256,99.609375,
memory,2,lookup_projection,validation,parity_majority,131,256,51.171875,
memory,2,lookup_projection,validation,sum3,255,256,99.609375,
memory,2,lookup_projection,validation,sum3_majority,90,256,35.15625,
memory,2,lookup_projection,train_probe,all,768,768,100.0,True
memory,2,lookup_projection,train_probe,lookup,256,256,100.0,
memory,2,lookup_projection,train_probe,lookup_majority,95,256,37.109375,
memory,2,lookup_projection,train_probe,parity,256,256,100.0,
memory,2,lookup_projection,train_probe,parity_majority,133,256,51.953125,
memory,2,lookup_projection,train_probe,sum3,256,256,100.0,
memory,2,lookup_projection,train_probe,sum3_majority,89,256,34.765625,
memory,2,lookup_projection,length-2,all,170,256,66.40625,
memory,2,lookup_projection,length-2,lookup,170,256,66.40625,
memory,2,lookup_projection,length-2,lookup_majority,256,256,100.0,
memory,2,lookup_projection,length-4,all,199,256,77.734375,
memory,2,lookup_projection,length-4,lookup,199,256,77.734375,
memory,2,lookup_projection,length-4,lookup_majority,126,256,49.21875,
memory,2,lookup_projection,length-8,all,168,256,65.625,
memory,2,lookup_projection,length-8,lookup,168,256,65.625,
memory,2,lookup_projection,length-8,lookup_majority,98,256,38.28125,
memory,2,lookup_projection,length-12,all,179,256,69.921875,
memory,2,lookup_projection,length-12,lookup,179,256,69.921875,
memory,2,lookup_projection,length-12,lookup_majority,96,256,37.5,
memory,2,always_projection,validation,all,688,768,89.58333333333333,False
memory,2,always_projection,validation,lookup,178,256,69.53125,
memory,2,always_projection,validation,lookup_majority,93,256,36.328125,
memory,2,always_projection,validation,parity,256,256,100.0,
memory,2,always_projection,validation,parity_majority,131,256,51.171875,
memory,2,always_projection,validation,sum3,254,256,99.21875,
memory,2,always_projection,validation,sum3_majority,90,256,35.15625,
memory,2,always_projection,train_probe,all,768,768,100.0,True
